Manufacturer,Payment_Sum,Payment_Count,Payment_Mean,Year
Merck Sharp & Dohme Corporation,39953517.48,386275,103.43,2016
"Mercury Enterprises, Inc.",5681.82,6,946.97,2016
"Merete Medical, Inc.",62071.25,20,3103.56,2016
Merge Healthcare Incorporated,209375.47,154,1359.58,2016
Meridian Bioscience Inc.,42074.36,233,180.58,2016
Merit Medical Systems Inc,1885773.77,1625,1160.48,2016
"Merrimack Pharmaceuticals, Inc.",817352.65,1918,426.15,2016
Merz Asia Pacific PTE. LTD,92589.72,5,18517.94,2016
Merz Farmaceutica Comercial LTDA,34165.81,5,6833.16,2016
"Merz North America, Inc.",2037927.3,13900,146.61,2016
Merz Pharma (Schweiz) AG,21040.87,4,5260.22,2016
Merz Pharma Canada Ltd.,866.13,1,866.13,2016
Merz Pharmaceuticals GmbH,750792.25,188,3993.58,2016
"Merz, Inc.",15195.61,42,361.8,2016
"Metrex Research, LLC",1310.27,63,20.8,2016
"Metric Medical Devices, Inc.",47962.2,56,856.47,2016
Mevion_Medical_Systems_Inc,1857.95,19,97.79,2016
"Miami Device Solutions, LLC",122047.13,93,1312.33,2016
"Michigan Critical Care Consultants, Inc.",13980.18,6,2330.03,2016
MicroAire Surgical Instruments LLC,130653.97,215,607.69,2016
MicroPort Orthopedics Inc,5740675.64,1514,3791.73,2016
"MicroVention, Inc.",596934.08,1472,405.53,2016
Microgenics Corporation,206491.35,91,2269.14,2016
MicrolineSurgical Inc,82486.33,15,5499.09,2016
Micromed Inc,28232.95,106,266.35,2016
"Mid-Atlantic Surgical Systems, LLC",74685.86,383,195.0,2016
Midatech Pharma US Inc,19585.99,1255,15.61,2016
Midmark Corporation,1976539.63,257,7690.82,2016
Midsouth Orthopedics,2137.55,53,40.33,2016
"Midwest Surgical Alliance, LLC",159145.5,2,79572.75,2016
"Millennium Pharmaceuticals, Inc.",9543123.26,11925,800.26,2016
"Millennium Spine, LLC",80000.0,1,80000.0,2016
"Milliken Healthcare Products, LLC",74679.68,79,945.31,2016
"Mindray DS USA, Inc.",23315.03,24,971.46,2016
"Minerva Surgical, Inc",165649.68,4674,35.44,2016
Miromatrix Medical Inc.,77488.48,81,956.65,2016
Misonix Inc,156327.49,189,827.13,2016
Mission Pharmacal Company,666336.59,19114,34.86,2016
"Mitsui Chemicals, Inc.",14748.86,38,388.13,2016
"Mobius Therapeutics, LLC",2122.73,13,163.29,2016
"Mohawk Hospital Equipment, Inc.",50360.0,2,25180.0,2016
"Molnlycke Health Care US, LLC",362506.2,1090,332.57,2016
"Momenta Pharmaceuticals, Inc.",25.94,1,25.94,2016
Monaghan Medical Corporation,21890.33,122,179.43,2016
Monteris Medical Corporation,563597.38,501,1124.94,2016
Moore Medical LLC,103.26,6,17.21,2016
Musculoskeletal Transplant Foundation Inc.,1622159.9,2513,645.51,2016
"Mydent International, Inc.",418.73,7,59.82,2016
"Myelotec, Inc.",4500.0,1,4500.0,2016
"Mylan D.T., Inc.",8858.86,82,108.03,2016
Mylan Inc.,2066.72,23,89.86,2016
Mylan Institutional Inc.,90980.62,242,375.95,2016
Mylan Pharmaceuticals Inc.,239206.46,3219,74.31,2016
Mylan Specialty L.P.,1826231.99,32177,56.76,2016
Myoscience Inc.,771030.7,160,4818.94,2016
Myotronics Noromed Inc,49011.35,30,1633.71,2016
"Myriad Genetic Laboratories, Inc.",19038.52,160,118.99,2016
NEOMEDIX CORPORATION,293511.0,40,7337.78,2016
"NEUROPACE, INC.",420801.11,1137,370.1,2016
"NEW STAR LASERS, INC.",54203.01,178,304.51,2016
"NEW WORLD MEDICAL,INC.",81042.94,206,393.41,2016
NICO Corporation,192802.83,45,4284.51,2016
"NIDEK CO., LTD.",54228.17,20,2711.41,2016
NOVADAQ TECHNOLOGIES INC.,3477196.12,7853,442.79,2016
NOVARTIS PHARMACEUTICALS CORPORATION,2143479.24,9258,231.53,2016
NSK AMERICA CORPORATION,629.5,8,78.69,2016
"NUVASIVE, INC.",21529500.43,12866,1673.36,2016
"NanoString Technologies, Inc.",358590.02,509,704.5,2016
"Nanosphere, Inc.",61850.0,6,10308.33,2016
Nanovis LLC,107494.58,67,1604.4,2016
Napo Pharmaceuticals Inc,10636.92,25,425.48,2016
"Nashville Dental, Inc.",56.25,3,18.75,2016
National Dentex Corporation,25764.71,901,28.6,2016
"Navidea Biopharmaceuticals, Inc.",9144.62,17,537.92,2016
NeoMedix Corporation,1750.0,2,875.0,2016
"NeoSoft, LLC",147.55,1,147.55,2016
NeoTract Inc.,913327.48,7727,118.2,2016
"Neomend, Inc.",527042.42,2783,189.38,2016
"Neos Therapeutics, LP",1143557.29,14462,79.07,2016
Neovasc Medical Inc,147000.0,4,36750.0,2016
"Neoventa Medical, Inc.",3000.0,2,1500.0,2016
Nestle HealthCare Nutrition Inc.,4329.51,17,254.68,2016
"NeuWave Medical, Inc.",709236.88,503,1410.01,2016
Neuravi Ltd,72180.75,70,1031.15,2016
"NeuroLogica Corporation, A Subsidiary of Samsung Electronics",17120.23,79,216.71,2016
NeuroMetrix Inc,107707.09,17,6335.71,2016
"Neuronetics, Inc.",314614.14,1547,203.37,2016
"Neurotech NA, Inc.",111.95,4,27.99,2016
Nevro Corp,1860781.18,11305,164.6,2016
Nevro Corp.,6276.3,37,169.63,2016
"New Star Lasers, Inc.",2724.94,4,681.24,2016
"New York Blood Center, Inc.",519599.52,28,18557.13,2016
Next Science LLC,57140.24,17,3361.19,2016
"NextStep Arthropedix, LLC",557.78,9,61.98,2016
Nextremity Solutions Inc.,15601.86,96,162.52,2016
"Nexus CMF, LLC",69624.23,43,1619.17,2016
"Nexus Spine, LLC",5005.1,11,455.01,2016
Nexxt Spine LLC,236451.57,78,3031.43,2016
Nidek Incorporated,82926.09,13,6378.93,2016
Nihon Cochlear Co Ltd,17173.7,3,5724.57,2016
"Nihon Kohden America, Inc.",17146.04,24,714.42,2016
"NinePoint Medical, Inc.",455476.25,383,1189.23,2016
"Nippon Boehringer Ingelheim Co., Ltd.",133436.94,58,2300.64,2016
"Niveus Medical, Inc",7997.2,49,163.21,2016
Nobel Biocare USA,3429265.19,14671,233.74,2016
"Nonin Medical, Inc.",48972.78,31,1579.77,2016
"North American Rescue, LLC",8471.85,1,8471.85,2016
"North Shore Surgical Services, LLC",76400.0,1,76400.0,2016
NotalVision,46799.43,595,78.65,2016
Nova Biomedical Corporation,9102.72,14,650.19,2016
"Novabay Pharmaceuticals, Inc.",67054.74,1550,43.26,2016
Novabone Products,33000.0,7,4714.29,2016
Novadaq Technologies Inc.,1368.72,2,684.36,2016
Novartis Pharma AG,1702707.49,742,2294.75,2016
Novartis Pharmaceuticals Corporation,34847581.97,254450,136.95,2016
"Noven Pharmaceuticals, Inc.",1191.98,12,99.33,2016
"Noven Therapeutics, LLC",251657.48,1836,137.07,2016
Novian Health Inc.,24000.0,3,8000.0,2016
Novo Nordisk AS,5994650.35,3836,1562.73,2016
Novo Nordisk Health Care AG,474654.96,178,2666.6,2016
Novo Nordisk Inc,25551513.39,470007,54.36,2016
Novocure Inc.,1098701.37,3461,317.45,2016
"Novum Pharma, LLC",97062.98,4717,20.58,2016
Novus Surgical Solutions LLC,3938.67,15,262.58,2016
"NuMED for Children, LLC",90000.0,3,30000.0,2016
"NuMED, Inc.",6595.68,1,6595.68,2016
"NuSmile, Ltd.",234158.72,170,1377.4,2016
"NuVasive Specialized Orthopedics, Inc.",641104.28,413,1552.31,2016
"NuVasive, Inc.",189694.16,108,1756.43,2016
Nucletron Operations B.V.,261778.78,30,8725.96,2016
Nuo Therapeutics,75479.33,102,739.99,2016
"Nutech Spine, Inc.",46196.58,61,757.32,2016
Nuvectra Corporation,155622.01,1193,130.45,2016
"NxStage Medical, Inc.",874631.48,1364,641.23,2016
"NxThera, Inc.",519078.69,1166,445.18,2016
"OCULUS, Inc.",188957.43,86,2197.18,2016
"OMNIlife science, Inc",1444430.05,264,5471.33,2016
"ONY, Inc.",30380.27,43,706.52,2016
"OPKO Pharmaceuticals, LLC",2797.37,62,45.12,2016
OPTOS PLC,219360.83,334,656.77,2016
"OPTOS, INC.",26934.24,4,6733.56,2016
"OPTOVUE, INC.",226661.49,1462,155.04,2016
ORTHALIGN INC,92362.59,95,972.24,2016
ORTHO DEVELOPMENT CORPORATION,3834199.14,1055,3634.31,2016
"OWP Pharmaceuticals, Inc.",2312.56,246,9.4,2016
"Oasis Medical, Inc.",73981.12,75,986.41,2016
"Octapharma USA, Inc.",257518.63,1748,147.32,2016
"Ocular Therapeutix, Inc.",572391.1,335,1708.63,2016
Olea Medical,72830.25,18,4046.12,2016
Olympus America Inc.,3295723.26,7004,470.55,2016
Olympus Corporation,529355.39,226,2342.28,2016
Olympus Corporation of the Americas,4778212.77,6764,706.42,2016
"Olympus Latin America, Inc.",85603.91,130,658.49,2016
Olympus Winter & Ibe GmbH,21571.15,8,2696.39,2016
Omeros Corporation,343061.92,1780,192.73,2016
"OmniGuide, Inc.",184317.29,55,3351.22,2016
Omnyx LLC,157387.97,16,9836.75,2016
"One Lambda, Inc.",16809.26,17,988.78,2016
"Onkos Surgical, Inc.",93139.82,110,846.73,2016
Opsens Inc.,8859.3,80,110.74,2016
OptiMedica Corporation,11742.9,27,434.92,2016
"Optos, Inc.",243078.29,4053,59.97,2016
OraSure Technologies Inc.,6897.87,49,140.77,2016
"Orexigen Therapeutics, Inc.",1443719.82,11613,124.32,2016
"Orexo US, Inc.",470467.84,8362,56.26,2016
"Organ Recovery Systems, Inc.",92589.98,29,3192.76,2016
OrganOx Ltd,21525.0,2,10762.5,2016
Organogenesis Inc.,1356159.62,11100,122.18,2016
Orion Corporation,25085.0,5,5017.0,2016
Ormco Corporation,3813798.27,5322,716.61,2016
"Ortho Kinematics, Inc.",39685.83,97,409.13,2016
"Ortho Organizers, Inc.",731340.04,2010,363.85,2016
Ortho Solutions Inc,116671.84,175,666.7,2016
"Ortho Technology, Inc",30239.93,24,1260.0,2016
"Ortho-Clinical Diagnostics, Inc.",511011.95,197,2593.97,2016
"Ortho-Stat Caribbean, Corp.",1385.83,4,346.46,2016
OrthoPediatrics Corp.,807284.8,612,1319.09,2016
OrthoSensor Inc.,221995.41,374,593.57,2016
Orthofix International N.V.,1346692.79,2641,509.92,2016
Orthogenrx Inc.,4729.08,192,24.63,2016
Osiris Therapeutics Inc.,1028086.79,770,1335.18,2016
Osprey Medical Inc,42376.45,180,235.42,2016
Osseon LLC,1660.81,134,12.39,2016
"Osseus Fusion Systems, LLC",568601.73,43,13223.3,2016
OsteoReady LLC,794774.9,871,912.49,2016
Osteogenics Biomedical Inc.,83163.2,13,6397.17,2016
Osteomed LLC,895113.05,3758,238.19,2016
"Osteoremedies, LLC",26034.28,27,964.23,2016
"Oticon Medical, LLC",116631.45,84,1388.47,2016
"Otonomy, Inc.",161239.69,1862,86.59,2016
"Otsuka America Pharmaceutical, Inc.",14489124.68,114355,126.7,2016
"Otsuka Pharmaceutical Co., Ltd.",603766.99,155,3895.27,2016
"Otsuka Pharmaceutical Development & Commercialization, Inc.",1100601.24,2024,543.78,2016
Otto Bock HealthCare GmbH,131168.0,6,21861.33,2016
Otto Bock HealthCare LP,131244.0,7,18749.14,2016
Otto Bock Healthcare Products GmbH,131168.0,6,21861.33,2016
Outset Medical Inc,10592.95,3,3530.98,2016
"Owens & Minor Distribution, Inc.",292619.7,64,4572.18,2016
Oxford Immunotec Inc.,280161.17,2034,137.74,2016
"Ozark Cryosurgery, LLC",84000.0,7,12000.0,2016
"PARADIGM SPINE, LLC",373.26,7,53.32,2016
"PARI RESPIRATORY EQUIPMENT, INC.",79910.36,41,1949.03,2016
"PATTERSON COMPANIES, INC.",4261529.15,3183,1338.84,2016
"PENTAX of America, Inc.",403069.62,331,1217.73,2016
PFIZER INC.,6529215.69,3351,1948.44,2016
PFIZER INTERNATIONAL LLC,271720.59,113,2404.61,2016
PFIZER PHARMACEUTICALS LLC,16981.83,29,585.58,2016
PHARMACIA & UPJOHN COMPANY LLC,452.51,1,452.51,2016
"PRIME SURGICAL, LLC",5979.12,30,199.3,2016
"PRN Medical Services, LLC",5222.37,336,15.54,2016
PSS World Medical Inc.,435.73,7,62.25,2016
PT Boehringer Ingelheim Indonesia,6678.37,5,1335.67,2016
PULPDENT CORPORATION,84726.09,165,513.49,2016
"Pacific Medical, Inc.",20238.58,146,138.62,2016
Pacira Pharmaceuticals Incorporated,4071892.92,12627,322.48,2016
"Pajunk Medical Systems, LP",123197.48,38,3242.04,2016
"Palm Springs Partners, LLC",87328.59,4,21832.15,2016
Panasonic Healthcare Corporation of North America,56.5,1,56.5,2016
"Par Pharmaceutical, Inc.",58503.55,61,959.07,2016
"ParaPRO, LLC",11109.36,10,1110.94,2016
"Paradigm Spine, LLC",126084.3,749,168.34,2016
"Paragon 28, Inc.",699780.3,1799,388.98,2016
"Paragon BioTeck, Inc.",55928.96,24,2330.37,2016
"Parcus Medical, LLC",60480.0,15,4032.0,2016
"Patterson Companies, Inc.",177500.0,1,177500.0,2016
"Paxeon Reconstruction, LLC",169964.86,273,622.58,2016
Peerless Surgical Inc.,52656.69,337,156.25,2016
"Penumbra, Inc.",3860778.45,5944,649.53,2016
"Pernix Therapeutics Holdings, Inc.",1581235.82,16943,93.33,2016
Perrigo Company plc,279951.76,4470,62.63,2016
"Peter Brasseler Holdings, LLC",1572331.01,770,2041.99,2016
Pfizer Corporation Hong Kong Limited,327.95,12,27.33,2016
Pfizer Inc.,40225823.74,525814,76.5,2016
Pfizer International LLC,228166.14,233,979.25,2016
"Pfizer Investment Co., Ltd",78.67,1,78.67,2016
Pfizer Pharmaceuticals LLC,182263.68,2962,61.53,2016
Phadia AB,3718.54,5,743.71,2016
Phadia US Inc.,476306.21,5306,89.77,2016
Pharmacia & Upjohn Company LLC,4000.0,1,4000.0,2016
"Pharmacyclics LLC, An AbbVie Company",2040496.05,7706,264.79,2016
Pharmedium Services LLC,51548.05,3,17182.68,2016
"Pharming Healthcare, Inc.",3150.28,8,393.78,2016
Philips Electronics North America Corporation,3532513.32,12863,274.63,2016
Phoenix Sleep Solutions LLC,20350.0,8,2543.75,2016
Photocure Inc,69679.07,423,164.73,2016
"Phraxis, Inc.",150493.84,66,2280.21,2016
"Physician Discoveries, LLC",233745.06,99,2361.06,2016
"Pierre Fabre Pharmaceuticals, Inc.",124437.4,418,297.7,2016
"Pinnacle Biologics, Inc",381385.17,942,404.87,2016
"Pinnacle Spine Group, LLC",257745.62,6,42957.6,2016
"Pinnacle Transplant Technologies, LLC",336.29,2,168.14,2016
"Pinnacle, Inc",45322.99,596,76.05,2016
Piramal Critical Care,1182.9,46,25.72,2016
Piramal Imaging Limited,11723.71,187,62.69,2016
"Planmeca USA, Inc.",318587.76,825,386.17,2016
"Plasma Surgical, Inc.",600.0,1,600.0,2016
"PneumRx, Inc",127748.52,101,1264.84,2016
"Podimetrics, Inc.",6132.75,2,3066.38,2016
"Prasco, LLC",1000.0,1,1000.0,2016
"Preceptis Medical, Inc.",53277.16,49,1087.29,2016
Precision Eye Services,316.91,7,45.27,2016
"Precision Spine, Inc.",2779824.11,539,5157.37,2016
Premier Dental Products Company,94264.39,1710,55.13,2016
"Prestium Pharma, Inc.",24084.53,1381,17.44,2016
"Preventice Services, LLC",218748.17,18,12152.68,2016
"Prexion, Inc.",101063.46,161,627.72,2016
"Prodigy Surgical Distribution, Inc.",81482.52,224,363.76,2016
Prometheus Laboratories Inc.,616169.84,6183,99.66,2016
Promius Pharma LLC,1489452.64,11446,130.13,2016
"Prosidyan, Inc",19540.39,22,888.2,2016
Provensis Limited,98135.0,5,19627.0,2016
"Providence Medical Technology, Inc.",348059.59,1198,290.53,2016
"Prytime Medical Devices, Inc.",39709.28,71,559.29,2016
Purdue Pharma,350000.0,4,87500.0,2016
Purdue Pharma L.P.,7268916.72,79057,91.95,2016
Purdue Pharma of Puerto Rico,2780.94,33,84.27,2016
Purdue Transdermal Technologies L.P.,265656.05,405,655.94,2016
"PureLife, LLC",230750.28,3479,66.33,2016
Pylant Medical,894481.63,1254,713.3,2016
QIAGEN SCIENCES LLC,378452.72,992,381.5,2016
QIAGEN Sciences LLC,16593.3,33,502.83,2016
"QOL Medical, LLC",350911.24,5459,64.28,2016
Qfix,7519.0,1,7519.0,2016
Quest Medical Inc.,202079.9,26,7772.3,2016
Quest Medical LLC,61681.51,192,321.26,2016
Quidel Corporation,616548.18,339,1818.73,2016
R-Pharm US LLC,24743.91,732,33.8,2016
"RARE DISEASE THERAPEUTICS, INC.",510.6,18,28.37,2016
RECORDATI_RARE_DISEASES_INC.,974.61,11,88.6,2016
"RGH Enterprises, Inc.",9440.29,147,64.22,2016
"RIKCO INTERNATIONAL, LLC",128127.22,472,271.46,2016
RJR SURGICAL INC,15312.68,4,3828.17,2016
"ROCK MEDICAL ORTHOPEDICS, INC.",31100.59,198,157.07,2016
"ROHO, Inc.",553.63,9,61.51,2016
"RSW Medical Company, Inc.",56127.49,280,200.46,2016
"RTI Surgical, Inc.",1885250.31,951,1982.39,2016
"RadiaDyne, LLC",66876.46,43,1555.27,2016
"Radiometer America, Inc",80369.72,21,3827.13,2016
"Radlink, Inc",41261.77,17,2427.16,2016
Raintree Essix Inc,286643.07,2585,110.89,2016
Ranbaxy Inc.,216225.28,11410,18.95,2016
"Rapid Pathogen Screening, Inc.",25505.57,905,28.18,2016
"ReVision Optics, Inc.",201585.05,415,485.75,2016
"Regeneron Healthcare Solutions, Inc.",683313.35,31835,21.46,2016
"Regeneron Pharmaceuticals, Inc.",14725111.04,15108,974.66,2016
"Reichert, Inc.",285906.71,462,618.85,2016
"Reliance Medical Products, Inc.",93351.24,16,5834.45,2016
"ReliantHeart, Inc.",18748.52,5,3749.7,2016
"Relypsa, Inc.",2085211.9,18289,114.01,2016
"Remel, Inc.",18339.51,25,733.58,2016
"Renaissance Lakewood, LLC",6000.0,2,3000.0,2016
"Renaissance Pharma, Inc.",6407.01,16,400.44,2016
"Renovis Surgical Technologies, Inc.",55319.05,9,6146.56,2016
Repro Med Systems Inc,25118.44,3,8372.81,2016
"Republic Spine, LLC",1508711.92,25,60348.48,2016
Resmed Corp,65585.89,1342,48.87,2016
"Respicardia, Inc.",257390.17,21,12256.67,2016
"Respiratory Technologies, Inc.",231697.85,11089,20.89,2016
Respire Medical Holdings LLC,3015.17,3,1005.06,2016
"Retrophin, Inc.",370785.8,6917,53.61,2016
Rhodes Pharmaceuticals L.P.,660330.3,9209,71.7,2016
Richard Wolf Medical Instruments Corp.,104027.03,156,666.84,2016
Richard-Allan Scientific Company,44892.83,26,1726.65,2016
"Ricoh USA, Inc",9973.0,8,1246.62,2016
"Rivanna Medical, LLC",1500.0,1,1500.0,2016
"Roanoke Area Surgical Lasers, LLC",156400.0,9,17377.78,2016
Roche Diabetes Care GmbH,34055.0,4,8513.75,2016
"Roche Diabetes Care, Inc.",149082.53,2499,59.66,2016
Roche Diagnostics Corporation,1240248.89,10335,120.0,2016
Roche Diagnostics GmbH,58.0,1,58.0,2016
Roche Diagnostics International Ltd,227319.18,117,1942.9,2016
"Roche Diagnostics Operations, Inc.",76.83,2,38.42,2016
Roche Health Solutions Inc.,78000.0,30,2600.0,2016
"Roche Molecular Systems, Inc.",260722.45,105,2483.07,2016
Roche Products Limited,445445.08,428,1040.76,2016
"Roche TCRC, Inc.",151235.14,215,703.42,2016
Rochester Medical Corporation,43426.08,2183,19.89,2016
"Romark Laboratories, LC",249834.57,8515,29.34,2016
"Rotation Medical, Inc.",148103.34,166,892.19,2016
Roxwood Medical Inc.,17500.0,5,3500.0,2016
"SAMSUNG MEDISON CO., LTD.",6975.52,8,871.94,2016
SANOFI PASTEUR BIOLOGICS LLC,1500.0,1,1500.0,2016
SANOFI PASTEUR INC.,2149816.33,28438,75.6,2016
SANOFI US SERVICES INC.,532544.59,438,1215.86,2016
SANOFI-AVENTIS U.S. LLC,29633388.03,382238,77.53,2016
SEASPINE ORTHOPEDICS CORPORATION,2686029.68,1377,1950.64,2016
SEIKAGAKU CORPORATION,34487.26,1,34487.26,2016
"SI-BONE, Inc.",904182.85,4633,195.16,2016
"SI-TECHNOLOGY, LLC",1132.62,2,566.31,2016
SIGN Fracture Care International,5645.0,11,513.18,2016
SMV Scientific LLC,9115.97,25,364.64,2016
SNAP Diagnostics LLC,437861.23,9,48651.25,2016
"SONOCINE, INC.",2357.58,6,392.93,2016
"SONOMA ORTHOPEDICS, INC.",208971.94,645,323.99,2016
SPACELABS HEALTHCARE INC,8822.57,3,2940.86,2016
"SPINEFRONTIER, INC.",1878004.67,73,25726.09,2016
"SPINEGUARD, INC.",169955.23,194,876.06,2016
"SPR Therapeutics, LLC",43305.06,12,3608.75,2016
SPS Medical Supply Corp.,1987.0,61,32.57,2016
"SRS Medical Systems, Inc.",40416.73,68,594.36,2016
"SS White Burs, Inc.",381043.18,1990,191.48,2016
STAAR SURGICAL COMPANY,7529.9,139,54.17,2016
STD Med Inc.,2972.46,3,990.82,2016
"STELLEN MEDICAL, LLC",77.59,1,77.59,2016
STERIS Corporation,308127.86,89,3462.11,2016
"STRATA Skin Sciences, Inc.",12012.66,731,16.43,2016
SWAN VALLEY MEDICAL INCORPORATED,4200.0,2,2100.0,2016
Safco Dental Supply Co.,5953.51,28,212.63,2016
"Safe Orthopaedics, LLC",49775.1,39,1276.28,2016
"SafeOp Surgical, Inc.",89640.65,17,5272.98,2016
"Safewire, LLC",1207104.0,14,86221.71,2016
"Sagent Pharmaceuticals, Inc.",1740.17,82,21.22,2016
Salter Labs,8000.0,2,4000.0,2016
"Salutaris Medical Devices, Inc.",153.17,6,25.53,2016
"Salvin Dental Specialties, Inc.",151076.01,2616,57.75,2016
"San Francisco Surgical Services, LLC",116400.0,3,38800.0,2016
Sandoz Inc.,1091534.61,13557,80.51,2016
Sanofi US Services Inc.,293296.88,372,788.43,2016
Saol Therapeutics Inc.,5437.74,121,44.94,2016
Scanlan International Inc,141171.87,29,4868.0,2016
SciCan Inc,144186.95,451,319.7,2016
SeaPearl Inc,11390.28,222,51.31,2016
"Seattle Genetics, Inc.",1406260.22,5581,251.97,2016
Sebela Pharmaceuticals Inc.,17454.8,606,28.8,2016
Sechrist Industries Inc,541.74,6,90.29,2016
"Second Sight Medical Products, Inc.",162954.43,99,1646.0,2016
Sekisui Diagnostics LLC,4305.42,9,478.38,2016
Sekisui Diagnostics P.E.I. Inc.,5868.75,3,1956.25,2016
"Semler Scientific, Inc.",77352.75,8,9669.09,2016
"Seneca Medical, LLC",45978.67,25,1839.15,2016
"Sensus Healthcare, Inc.",91057.5,140,650.41,2016
"Sentynl Therapeutics, Inc.",69674.95,2427,28.71,2016
Septodont Inc.,155072.4,638,243.06,2016
Seqirus USA Inc,139357.29,685,203.44,2016
"Sequent Medical, Inc.",210429.61,133,1582.18,2016
"Sequoia Surgical Distributors, LLC",460350.0,3,153450.0,2016
"Sequoia Surgical, Inc.",933.27,14,66.66,2016
"Shimadzu Precision Instruments, Inc.",10692.83,44,243.02,2016
Shionogi Inc,1908988.27,17191,111.05,2016
Shire North American Group Inc,15319773.59,168519,90.91,2016
Shofu Dental corp,191329.7,199,961.46,2016
"Siemens Medical Solutions USA, Inc.",11942935.39,8056,1482.49,2016
"Sientra, Inc.",346842.06,4199,82.6,2016
"Siesta Medical, Inc.",11100.0,2,5550.0,2016
"Sight Sciences, Inc.",25966.33,39,665.8,2016
"Sigma-Tau Pharmaceuticals, Inc.",240399.84,152,1581.58,2016
"Silk Road Medical, Inc.",121120.0,33,3670.3,2016
Silony Medical Corp.,82.0,1,82.0,2016
"Silvergate Pharmaceuticals, Inc.",1757.17,95,18.5,2016
"Sintea Plustek, LLC",8499.39,2,4249.7,2016
Sirona Dental Systems Inc.,2902116.51,3653,794.45,2016
Sirtex Medical Inc,2796931.66,8313,336.45,2016
Skeletal Dynamics LLC,171479.84,685,250.34,2016
Skeletal Kinetics LLC,91.34,6,15.22,2016
SmartHealth Inc,28513.25,84,339.44,2016
"Smith & Nephew, Inc.",45751653.52,65888,694.39,2016
"Smiths Medical ASD, Inc.",66633.62,12,5552.8,2016
"Sobi, Inc",109945.57,508,216.43,2016
Sofregen Medical Inc.,30200.17,3,10066.72,2016
"SonaCare Medical, LLC",11295.23,114,99.08,2016
Sonendo Inc,488626.04,138,3540.77,2016
Sony Electronics Inc.,3632.84,5,726.57,2016
"Sorin Crm Usa, Inc.",238007.46,542,439.13,2016
Sorin Group USA Inc.,445731.75,1395,319.52,2016
"Southern Anesthesia & Surgical, Inc",2680.0,4,670.0,2016
Southern Implants North America Inc,4764.94,26,183.27,2016
"Southern Louisiana Surgical Supply, LLC",300500.0,1,300500.0,2016
"Southern Spine, LLC",20500.0,1,20500.0,2016
Southern Surgical Supply LLC,229116.05,3,76372.02,2016
Southtech Orthopedics,10866.33,34,319.6,2016
Specialty Surgical Instrumentation,1438.24,14,102.73,2016
"Specialty Surgical Products, Inc.",182375.25,7,26053.61,2016
Spectrum Pharmaceuticals Inc.,416231.2,2337,178.1,2016
Spinal Balance Inc,1892.2,3,630.73,2016
"Spinal Elements, Inc.",261308.71,107,2442.14,2016
"Spinal Simplicity, LLC",5801.31,34,170.63,2016
"Spine Design, LLC",8000.0,2,4000.0,2016
"Spine View, Inc.",1875.0,1,1875.0,2016
"Spine Wave, Inc.",863574.17,1488,580.36,2016
"SpineCraft, LLC",261152.33,28,9326.87,2016
"SpineSmith Holdings, LLC",74292.75,187,397.29,2016
Spineart SA,435089.0,42,10359.26,2016
Spineart USA Inc,646815.86,343,1885.76,2016
Spineology Inc.,206876.56,326,634.59,2016
"Spiration, Inc.",107320.57,238,450.93,2016
Spirox Inc,171612.01,521,329.39,2016
Spirus Medical LLC,3688.46,2,1844.23,2016
"SportsTek Medical, Inc",43319.19,172,251.86,2016
Spring Bioscience Corporation,6407.22,4,1601.8,2016
"St. Jude Medical, Inc.",23805232.01,118031,201.69,2016
"Standard Bariatrics, Inc.",23220.17,6,3870.03,2016
"Stanmore, Inc.",662.58,8,82.82,2016
Steelhead Surgical Inc,51975.44,151,344.21,2016
Stelkast Inc.,104942.72,36,2915.08,2016
Stereotaxis Inc,187845.24,318,590.71,2016
"Sterilmed, Inc.",65.5,1,65.5,2016
Stimwave Technologies Incorporated,232300.12,642,361.84,2016
Strategic Dentistry LLC,337499.5,203,1662.56,2016
Straumann USA LLC,1730464.52,19633,88.14,2016
"Streck, Inc.",49561.0,28,1770.04,2016
Stryker Corporation,63885887.37,87392,731.03,2016
"Sucampo Pharma Americas, LLC",10328.77,8,1291.1,2016
"Sumitomo Dainippon Pharma Co., Ltd.",96636.28,103,938.22,2016
Summit Surgical Corp.,6638.66,31,214.15,2016
Sun Pharmaceutical Industries Inc.,626274.06,2684,233.34,2016
Sunovion Pharmaceuticals Inc.,13507764.49,131397,102.8,2016
"Sunquest Information Systems, Inc.",29391.96,23,1277.91,2016
Sunshine Heart Inc,171681.71,39,4402.1,2016
"Supernus Pharmaceuticals, Inc.",1738419.68,37512,46.34,2016
"Supreme Orthopedic Systems, LLC",96368.04,381,252.93,2016
"Surefire Medical, Inc.",225926.17,290,779.06,2016
"Surgi-Care, Inc.",51261.96,23,2228.78,2016
"Surgical Specialties Corporation (US), Inc.",121403.31,100,1214.03,2016
Surgical Theater LLC,26564.65,72,368.95,2016
"Surmodics, Inc.",5985.0,3,1995.0,2016
"Suture Ease, Inc.",4000.0,2,2000.0,2016
Swedish Orphan Biovitrum AB,54512.82,18,3028.49,2016
"Symbrium Medical Technology, Inc.",790.41,52,15.2,2016
Synapse Biomedical Inc,166704.09,17,9806.12,2016
Synaptive Medical Inc.,236339.0,661,357.55,2016
"Syncardia Systems, LLC",72504.92,41,1768.41,2016
Synergy Integrated Medical Solutions LLC,106400.0,1,106400.0,2016
